rank,admin1,admin2,wp_low_mean,SAH_State_Type,SAH_State_Date,acronym,governor,political-party,population,SAH,SAH-notes,county-state,SAH-start-date,SAH-end-date,source-URL,NE-bus-sus,start-date,source-URL_1,Pub-school-closed,start-date_1,source-URL_2
183,Illinois,Lake County,-36.4,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,699587,,,,,,,,,,,,
184,Washington,King County,-36.36,Stay at home,3/23/2020,WA,Jay Inslee,Democratic,2228364,,,,,,,,,,,,
185,Florida,Pinellas County,-36.35,Stay at home,4/3/2020,,Ron DeSantis,Republican,973058,,,,,,,,,,,,
186,Florida,Palm Beach County,-36.29,Stay at home,4/3/2020,,Ron DeSantis,Republican,1482876,,,,,,,,,,,,
186,Mississippi,Lee County,-36.29,Shelter in place,4/3/2020,,Tate Reeves,Republican,85276,,,,,,,,,,,,
187,Georgia,Harris County,-36.22,Shelter in place,4/3/2020,,Brian Kemp,Republican,34560,,,,,,,,,,,,
188,Florida,Collier County,-36.19,Stay at home,4/3/2020,,Ron DeSantis,Republican,378201,,,,,,,,,,,,
189,Vermont,Washington County,-36.12,Stay at home,3/25/2020,VT,Phil Scott,Republican,58079,Yes,,,3/13/2020,5/15/2020,https://governor.vermont.gov/press-release/governor-phil-scott-extends-state-emergency-vermont,,,,,,
190,Florida,Leon County,-36.06,Stay at home,4/3/2020,,Ron DeSantis,Republican,291657,,,,,,,,,,,,
190,Texas,Kendall County,-36.06,Stay at home,4/2/2020,,Greg Abbott,Republican,45603,,,,,,,,,,,,
191,Alaska,Anchorage,-36,Stay at home,3/28/2020,,Mike Dunleavy,Republican,,,,,,,,,,,,,
191,California,San Benito County,-36,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,61467,Yes,,,,,,,,,Yes,3/16/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
191,Georgia,Henry County,-36,Shelter in place,4/3/2020,,Brian Kemp,Republican,229728,,,,,,,,,,,,
191,Montana,Gallatin County,-36,Stay at home,3/28/2020,,Steve Bullock,Democratic,111682,,,,,,,,,,,,
191,Texas,Galveston County,-36,Stay at home,4/2/2020,,Greg Abbott,Republican,337858,,,,,,,,,,,,
192,South Carolina,Richland County,-35.95,Stay at home ,4/7/2020,SC,Henry McMaster,Republican,414202,Yes,,,4/7/2020,4/20/2020,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-04-20%20eFILED%20Executive%20Order%20No.%202020-28%20-%20Modification%20of%20Restrictions%20for%20Public%20Beaches%20%26%20Waters%20%26%20Incremental%20Modification%20of%20Non-Essential%20Business%20Closures.pdf,,,,,,
